"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2008","4 years","Exempt registrations","Number","661"
"Used  (Imported) Cars Registered","2008","4 years","Net registrations","Number","8670"
"Used  (Imported) Cars Registered","2008","5 years","Gross registrations","Number","8134"
"Used  (Imported) Cars Registered","2008","5 years","Exempt registrations","Number","644"
"Used  (Imported) Cars Registered","2008","5 years","Net registrations","Number","7490"
"Used  (Imported) Cars Registered","2008","6 years","Gross registrations","Number","5602"
"Used  (Imported) Cars Registered","2008","6 years","Exempt registrations","Number","642"
"Used  (Imported) Cars Registered","2008","6 years","Net registrations","Number","4960"
"Used  (Imported) Cars Registered","2008","7 years","Gross registrations","Number","4936"
"Used  (Imported) Cars Registered","2008","7 years","Exempt registrations","Number","566"
"Used  (Imported) Cars Registered","2008","7 years","Net registrations","Number","4370"
"Used  (Imported) Cars Registered","2008","8 years","Gross registrations","Number","4638"
"Used  (Imported) Cars Registered","2008","8 years","Exempt registrations","Number","468"
"Used  (Imported) Cars Registered","2008","8 years","Net registrations","Number","4170"
"Used  (Imported) Cars Registered","2008","9 years","Gross registrations","Number","4128"
"Used  (Imported) Cars Registered","2008","9 years","Exempt registrations","Number","380"
"Used  (Imported) Cars Registered","2008","9 years","Net registrations","Number","3748"
"Used  (Imported) Cars Registered","2008","10 years","Gross registrations","Number","3589"
"Used  (Imported) Cars Registered","2008","10 years","Exempt registrations","Number","290"
"Used  (Imported) Cars Registered","2008","10 years","Net registrations","Number","3299"
"Used  (Imported) Cars Registered","2008","11 years","Gross registrations","Number","2973"
"Used  (Imported) Cars Registered","2008","11 years","Exempt registrations","Number","237"
"Used  (Imported) Cars Registered","2008","11 years","Net registrations","Number","2736"
"Used  (Imported) Cars Registered","2008","12 years","Gross registrations","Number","1960"
"Used  (Imported) Cars Registered","2008","12 years","Exempt registrations","Number","177"
"Used  (Imported) Cars Registered","2008","12 years","Net registrations","Number","1783"
"Used  (Imported) Cars Registered","2008","13 years and over","Gross registrations","Number","5674"
"Used  (Imported) Cars Registered","2008","13 years and over","Exempt registrations","Number","442"
