"Statistic","Year","Value","Type of Registration","UNIT","VALUE"
"Value Profile of New Cars Registered","2016","25,001 - 30,000","Exempt registrations","Number","1515"
"Value Profile of New Cars Registered","2016","25,001 - 30,000","Net registrations","Number","35736"
"Value Profile of New Cars Registered","2016","30,001 - 40,000","Gross registrations","Number","21827"
"Value Profile of New Cars Registered","2016","30,001 - 40,000","Exempt registrations","Number","1314"
"Value Profile of New Cars Registered","2016","30,001 - 40,000","Net registrations","Number","20513"
"Value Profile of New Cars Registered","2016","40,001 - 50,000","Gross registrations","Number","8732"
"Value Profile of New Cars Registered","2016","40,001 - 50,000","Exempt registrations","Number","437"
"Value Profile of New Cars Registered","2016","40,001 - 50,000","Net registrations","Number","8295"
"Value Profile of New Cars Registered","2016","50,001 - 60,000","Gross registrations","Number","3298"
"Value Profile of New Cars Registered","2016","50,001 - 60,000","Exempt registrations","Number","114"
"Value Profile of New Cars Registered","2016","50,001 - 60,000","Net registrations","Number","3184"
"Value Profile of New Cars Registered","2016","60,001 - 70,000","Gross registrations","Number","924"
"Value Profile of New Cars Registered","2016","60,001 - 70,000","Exempt registrations","Number","27"
"Value Profile of New Cars Registered","2016","60,001 - 70,000","Net registrations","Number","897"
"Value Profile of New Cars Registered","2016","70,001 - 80,000","Gross registrations","Number","692"
"Value Profile of New Cars Registered","2016","70,001 - 80,000","Exempt registrations","Number","10"
"Value Profile of New Cars Registered","2016","70,001 - 80,000","Net registrations","Number","682"
"Value Profile of New Cars Registered","2016","80,001 - 90,000","Gross registrations","Number","312"
"Value Profile of New Cars Registered","2016","80,001 - 90,000","Exempt registrations","Number","6"
"Value Profile of New Cars Registered","2016","80,001 - 90,000","Net registrations","Number","306"
"Value Profile of New Cars Registered","2016","90,001 - 100,000","Gross registrations","Number","299"
"Value Profile of New Cars Registered","2016","90,001 - 100,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2016","90,001 - 100,000","Net registrations","Number","298"
"Value Profile of New Cars Registered","2016","100,001 - 150,000","Gross registrations","Number","415"
"Value Profile of New Cars Registered","2016","100,001 - 150,000","Exempt registrations","Number","6"
"Value Profile of New Cars Registered","2016","100,001 - 150,000","Net registrations","Number","409"
"Value Profile of New Cars Registered","2016","150,001 - 200,000","Gross registrations","Number","31"
"Value Profile of New Cars Registered","2016","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2016","150,001 - 200,000","Net registrations","Number","31"
"Value Profile of New Cars Registered","2016","200,001 - 250,000","Gross registrations","Number","3"
"Value Profile of New Cars Registered","2016","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2016","200,001 - 250,000","Net registrations","Number","3"
"Value Profile of New Cars Registered","2016","Over 250,000","Gross registrations","Number","8"
"Value Profile of New Cars Registered","2016","Over 250,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2016","Over 250,000","Net registrations","Number","7"
"Value Profile of New Cars Registered","2016","All values","Gross registrations","Number","146806"
"Value Profile of New Cars Registered","2016","All values","Exempt registrations","Number","5146"
"Value Profile of New Cars Registered","2016","All values","Net registrations","Number","141660"
"Value Profile of New Cars Registered","2017","0 - 7000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2017","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2017","0 - 7000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2017","7,001 - 8,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2017","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2017","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2017","8,001 - 13,000","Gross registrations","Number","2903"
"Value Profile of New Cars Registered","2017","8,001 - 13,000","Exempt registrations","Number","15"
"Value Profile of New Cars Registered","2017","8,001 - 13,000","Net registrations","Number","2888"
"Value Profile of New Cars Registered","2017","13,001 - 14,000","Gross registrations","Number","2126"
"Value Profile of New Cars Registered","2017","13,001 - 14,000","Exempt registrations","Number","14"
"Value Profile of New Cars Registered","2017","13,001 - 14,000","Net registrations","Number","2112"
"Value Profile of New Cars Registered","2017","14,001 - 15,000","Gross registrations","Number","3861"
"Value Profile of New Cars Registered","2017","14,001 - 15,000","Exempt registrations","Number","52"
"Value Profile of New Cars Registered","2017","14,001 - 15,000","Net registrations","Number","3809"
"Value Profile of New Cars Registered","2017","15,001 - 20,000","Gross registrations","Number","22152"
"Value Profile of New Cars Registered","2017","15,001 - 20,000","Exempt registrations","Number","503"
"Value Profile of New Cars Registered","2017","15,001 - 20,000","Net registrations","Number","21649"
"Value Profile of New Cars Registered","2017","20,001 - 25,000","Gross registrations","Number","29545"
"Value Profile of New Cars Registered","2017","20,001 - 25,000","Exempt registrations","Number","976"
"Value Profile of New Cars Registered","2017","20,001 - 25,000","Net registrations","Number","28569"
"Value Profile of New Cars Registered","2017","25,001 - 30,000","Gross registrations","Number","31101"
"Value Profile of New Cars Registered","2017","25,001 - 30,000","Exempt registrations","Number","1322"
"Value Profile of New Cars Registered","2017","25,001 - 30,000","Net registrations","Number","29779"
"Value Profile of New Cars Registered","2017","30,001 - 40,000","Gross registrations","Number","24651"
"Value Profile of New Cars Registered","2017","30,001 - 40,000","Exempt registrations","Number","1480"
"Value Profile of New Cars Registered","2017","30,001 - 40,000","Net registrations","Number","23171"
"Value Profile of New Cars Registered","2017","40,001 - 50,000","Gross registrations","Number","8821"
"Value Profile of New Cars Registered","2017","40,001 - 50,000","Exempt registrations","Number","508"
"Value Profile of New Cars Registered","2017","40,001 - 50,000","Net registrations","Number","8313"
"Value Profile of New Cars Registered","2017","50,001 - 60,000","Gross registrations","Number","3855"
"Value Profile of New Cars Registered","2017","50,001 - 60,000","Exempt registrations","Number","123"
"Value Profile of New Cars Registered","2017","50,001 - 60,000","Net registrations","Number","3732"
"Value Profile of New Cars Registered","2017","60,001 - 70,000","Gross registrations","Number","1013"
"Value Profile of New Cars Registered","2017","60,001 - 70,000","Exempt registrations","Number","38"
"Value Profile of New Cars Registered","2017","60,001 - 70,000","Net registrations","Number","975"
"Value Profile of New Cars Registered","2017","70,001 - 80,000","Gross registrations","Number","684"
"Value Profile of New Cars Registered","2017","70,001 - 80,000","Exempt registrations","Number","13"
"Value Profile of New Cars Registered","2017","70,001 - 80,000","Net registrations","Number","671"
"Value Profile of New Cars Registered","2017","80,001 - 90,000","Gross registrations","Number","322"
"Value Profile of New Cars Registered","2017","80,001 - 90,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2017","80,001 - 90,000","Net registrations","Number","318"
"Value Profile of New Cars Registered","2017","90,001 - 100,000","Gross registrations","Number","292"
"Value Profile of New Cars Registered","2017","90,001 - 100,000","Exempt registrations","Number","3"
"Value Profile of New Cars Registered","2017","90,001 - 100,000","Net registrations","Number","289"
"Value Profile of New Cars Registered","2017","100,001 - 150,000","Gross registrations","Number","313"
"Value Profile of New Cars Registered","2017","100,001 - 150,000","Exempt registrations","Number","3"
"Value Profile of New Cars Registered","2017","100,001 - 150,000","Net registrations","Number","310"
"Value Profile of New Cars Registered","2017","150,001 - 200,000","Gross registrations","Number","33"
"Value Profile of New Cars Registered","2017","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2017","150,001 - 200,000","Net registrations","Number","33"
"Value Profile of New Cars Registered","2017","200,001 - 250,000","Gross registrations","Number","8"
"Value Profile of New Cars Registered","2017","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2017","200,001 - 250,000","Net registrations","Number","8"
"Value Profile of New Cars Registered","2017","Over 250,000","Gross registrations","Number","3"
"Value Profile of New Cars Registered","2017","Over 250,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2017","Over 250,000","Net registrations","Number","2"
"Value Profile of New Cars Registered","2017","All values","Gross registrations","Number","131683"
"Value Profile of New Cars Registered","2017","All values","Exempt registrations","Number","5055"
"Value Profile of New Cars Registered","2017","All values","Net registrations","Number","126628"
"Value Profile of New Cars Registered","2018","0 - 7000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2018","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2018","0 - 7000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2018","7,001 - 8,000","Gross registrations","Number","1"
"Value Profile of New Cars Registered","2018","7,001 - 8,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2018","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2018","8,001 - 13,000","Gross registrations","Number","2859"
"Value Profile of New Cars Registered","2018","8,001 - 13,000","Exempt registrations","Number","17"
"Value Profile of New Cars Registered","2018","8,001 - 13,000","Net registrations","Number","2842"
"Value Profile of New Cars Registered","2018","13,001 - 14,000","Gross registrations","Number","1897"
"Value Profile of New Cars Registered","2018","13,001 - 14,000","Exempt registrations","Number","15"
"Value Profile of New Cars Registered","2018","13,001 - 14,000","Net registrations","Number","1882"
"Value Profile of New Cars Registered","2018","14,001 - 15,000","Gross registrations","Number","2521"
"Value Profile of New Cars Registered","2018","14,001 - 15,000","Exempt registrations","Number","38"
"Value Profile of New Cars Registered","2018","14,001 - 15,000","Net registrations","Number","2483"
"Value Profile of New Cars Registered","2018","15,001 - 20,000","Gross registrations","Number","20364"
"Value Profile of New Cars Registered","2018","15,001 - 20,000","Exempt registrations","Number","405"
"Value Profile of New Cars Registered","2018","15,001 - 20,000","Net registrations","Number","19959"
"Value Profile of New Cars Registered","2018","20,001 - 25,000","Gross registrations","Number","25218"
"Value Profile of New Cars Registered","2018","20,001 - 25,000","Exempt registrations","Number","866"
"Value Profile of New Cars Registered","2018","20,001 - 25,000","Net registrations","Number","24352"
"Value Profile of New Cars Registered","2018","25,001 - 30,000","Gross registrations","Number","30837"
"Value Profile of New Cars Registered","2018","25,001 - 30,000","Exempt registrations","Number","1337"
"Value Profile of New Cars Registered","2018","25,001 - 30,000","Net registrations","Number","29500"
"Value Profile of New Cars Registered","2018","30,001 - 40,000","Gross registrations","Number","27048"
"Value Profile of New Cars Registered","2018","30,001 - 40,000","Exempt registrations","Number","1708"
"Value Profile of New Cars Registered","2018","30,001 - 40,000","Net registrations","Number","25340"
"Value Profile of New Cars Registered","2018","40,001 - 50,000","Gross registrations","Number","8337"
"Value Profile of New Cars Registered","2018","40,001 - 50,000","Exempt registrations","Number","562"
"Value Profile of New Cars Registered","2018","40,001 - 50,000","Net registrations","Number","7775"
"Value Profile of New Cars Registered","2018","50,001 - 60,000","Gross registrations","Number","4017"
"Value Profile of New Cars Registered","2018","50,001 - 60,000","Exempt registrations","Number","172"
"Value Profile of New Cars Registered","2018","50,001 - 60,000","Net registrations","Number","3845"
"Value Profile of New Cars Registered","2018","60,001 - 70,000","Gross registrations","Number","1078"
"Value Profile of New Cars Registered","2018","60,001 - 70,000","Exempt registrations","Number","36"
"Value Profile of New Cars Registered","2018","60,001 - 70,000","Net registrations","Number","1042"
"Value Profile of New Cars Registered","2018","70,001 - 80,000","Gross registrations","Number","892"
"Value Profile of New Cars Registered","2018","70,001 - 80,000","Exempt registrations","Number","20"
"Value Profile of New Cars Registered","2018","70,001 - 80,000","Net registrations","Number","872"
"Value Profile of New Cars Registered","2018","80,001 - 90,000","Gross registrations","Number","419"
"Value Profile of New Cars Registered","2018","80,001 - 90,000","Exempt registrations","Number","5"
"Value Profile of New Cars Registered","2018","80,001 - 90,000","Net registrations","Number","414"
"Value Profile of New Cars Registered","2018","90,001 - 100,000","Gross registrations","Number","237"
"Value Profile of New Cars Registered","2018","90,001 - 100,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2018","90,001 - 100,000","Net registrations","Number","236"
"Value Profile of New Cars Registered","2018","100,001 - 150,000","Gross registrations","Number","460"
"Value Profile of New Cars Registered","2018","100,001 - 150,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2018","100,001 - 150,000","Net registrations","Number","456"
"Value Profile of New Cars Registered","2018","150,001 - 200,000","Gross registrations","Number","72"
"Value Profile of New Cars Registered","2018","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2018","150,001 - 200,000","Net registrations","Number","72"
"Value Profile of New Cars Registered","2018","200,001 - 250,000","Gross registrations","Number","14"
"Value Profile of New Cars Registered","2018","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2018","200,001 - 250,000","Net registrations","Number","14"
"Value Profile of New Cars Registered","2018","Over 250,000","Gross registrations","Number","9"
"Value Profile of New Cars Registered","2018","Over 250,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2018","Over 250,000","Net registrations","Number","8"
"Value Profile of New Cars Registered","2018","All values","Gross registrations","Number","126280"
"Value Profile of New Cars Registered","2018","All values","Exempt registrations","Number","5188"
"Value Profile of New Cars Registered","2018","All values","Net registrations","Number","121092"
"Value Profile of New Cars Registered","2019","0 - 7000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2019","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2019","0 - 7000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2019","7,001 - 8,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2019","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2019","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2019","8,001 - 13,000","Gross registrations","Number","1912"
"Value Profile of New Cars Registered","2019","8,001 - 13,000","Exempt registrations","Number","9"
"Value Profile of New Cars Registered","2019","8,001 - 13,000","Net registrations","Number","1903"
"Value Profile of New Cars Registered","2019","13,001 - 14,000","Gross registrations","Number","1015"
"Value Profile of New Cars Registered","2019","13,001 - 14,000","Exempt registrations","Number","9"
"Value Profile of New Cars Registered","2019","13,001 - 14,000","Net registrations","Number","1006"
"Value Profile of New Cars Registered","2019","14,001 - 15,000","Gross registrations","Number","1211"
"Value Profile of New Cars Registered","2019","14,001 - 15,000","Exempt registrations","Number","15"
"Value Profile of New Cars Registered","2019","14,001 - 15,000","Net registrations","Number","1196"
"Value Profile of New Cars Registered","2019","15,001 - 20,000","Gross registrations","Number","18796"
"Value Profile of New Cars Registered","2019","15,001 - 20,000","Exempt registrations","Number","388"
"Value Profile of New Cars Registered","2019","15,001 - 20,000","Net registrations","Number","18408"
"Value Profile of New Cars Registered","2019","20,001 - 25,000","Gross registrations","Number","20353"
"Value Profile of New Cars Registered","2019","20,001 - 25,000","Exempt registrations","Number","755"
"Value Profile of New Cars Registered","2019","20,001 - 25,000","Net registrations","Number","19598"
"Value Profile of New Cars Registered","2019","25,001 - 30,000","Gross registrations","Number","26464"
"Value Profile of New Cars Registered","2019","25,001 - 30,000","Exempt registrations","Number","1155"
"Value Profile of New Cars Registered","2019","25,001 - 30,000","Net registrations","Number","25309"
"Value Profile of New Cars Registered","2019","30,001 - 40,000","Gross registrations","Number","29301"
"Value Profile of New Cars Registered","2019","30,001 - 40,000","Exempt registrations","Number","1846"
"Value Profile of New Cars Registered","2019","30,001 - 40,000","Net registrations","Number","27455"
"Value Profile of New Cars Registered","2019","40,001 - 50,000","Gross registrations","Number","11782"
"Value Profile of New Cars Registered","2019","40,001 - 50,000","Exempt registrations","Number","704"
"Value Profile of New Cars Registered","2019","40,001 - 50,000","Net registrations","Number","11078"
"Value Profile of New Cars Registered","2019","50,001 - 60,000","Gross registrations","Number","4031"
"Value Profile of New Cars Registered","2019","50,001 - 60,000","Exempt registrations","Number","186"
"Value Profile of New Cars Registered","2019","50,001 - 60,000","Net registrations","Number","3845"
"Value Profile of New Cars Registered","2019","60,001 - 70,000","Gross registrations","Number","939"
"Value Profile of New Cars Registered","2019","60,001 - 70,000","Exempt registrations","Number","27"
"Value Profile of New Cars Registered","2019","60,001 - 70,000","Net registrations","Number","912"
"Value Profile of New Cars Registered","2019","70,001 - 80,000","Gross registrations","Number","593"
"Value Profile of New Cars Registered","2019","70,001 - 80,000","Exempt registrations","Number","14"
"Value Profile of New Cars Registered","2019","70,001 - 80,000","Net registrations","Number","579"
"Value Profile of New Cars Registered","2019","80,001 - 90,000","Gross registrations","Number","517"
"Value Profile of New Cars Registered","2019","80,001 - 90,000","Exempt registrations","Number","10"
"Value Profile of New Cars Registered","2019","80,001 - 90,000","Net registrations","Number","507"
"Value Profile of New Cars Registered","2019","90,001 - 100,000","Gross registrations","Number","477"
"Value Profile of New Cars Registered","2019","90,001 - 100,000","Exempt registrations","Number","5"
"Value Profile of New Cars Registered","2019","90,001 - 100,000","Net registrations","Number","472"
"Value Profile of New Cars Registered","2019","100,001 - 150,000","Gross registrations","Number","667"
"Value Profile of New Cars Registered","2019","100,001 - 150,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2019","100,001 - 150,000","Net registrations","Number","663"
"Value Profile of New Cars Registered","2019","150,001 - 200,000","Gross registrations","Number","38"
"Value Profile of New Cars Registered","2019","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2019","150,001 - 200,000","Net registrations","Number","38"
"Value Profile of New Cars Registered","2019","200,001 - 250,000","Gross registrations","Number","10"
"Value Profile of New Cars Registered","2019","200,001 - 250,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2019","200,001 - 250,000","Net registrations","Number","9"
"Value Profile of New Cars Registered","2019","Over 250,000","Gross registrations","Number","10"
"Value Profile of New Cars Registered","2019","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2019","Over 250,000","Net registrations","Number","10"
"Value Profile of New Cars Registered","2019","All values","Gross registrations","Number","118116"
"Value Profile of New Cars Registered","2019","All values","Exempt registrations","Number","5128"
"Value Profile of New Cars Registered","2019","All values","Net registrations","Number","112988"
